Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
26/11/2008,ATL,MIL,102,96,NBA_2009
22/11/2008,CLE,ATL,110,96,NBA_2009
19/11/2008,ATL,WSH,91,87,NBA_2009
14/11/2008,BKN,ATL,115,108,NBA_2009
12/11/2008,BOS,ATL,103,102,NBA_2009
29/10/2008,ORL,ATL,85,99,NBA_2009
11/04/2024,UTAH,HOU,124,121,NBA_2024
02/04/2024,UTAH,CLE,113,129,NBA_2024
29/03/2024,UTAH,HOU,100,101,NBA_2024
27/03/2024,UTAH,SA,111,118,NBA_2024
25/03/2024,UTAH,DAL,105,115,NBA_2024
23/03/2024,HOU,UTAH,147,119,NBA_2024
21/03/2024,DAL,UTAH,113,97,NBA_2024
18/03/2024,UTAH,MIN,104,114,NBA_2024
16/03/2024,UTAH,MIN,100,119,NBA_2024
12/03/2024,UTAH,BOS,107,123,NBA_2024
04/03/2024,UTAH,WSH,127,115,NBA_2024
02/03/2024,MIA,UTAH,126,120,NBA_2024
29/02/2024,ORL,UTAH,115,107,NBA_2024
25/02/2024,UTAH,SA,128,109,NBA_2024
14/02/2024,UTAH,LAL,122,138,NBA_2024
08/02/2024,PHX,UTAH,129,115,NBA_2024
04/02/2024,UTAH,MIL,123,108,NBA_2024
01/02/2024,UTAH,PHI,124,127,NBA_2024
30/01/2024,NY,UTAH,118,103,NBA_2024
29/01/2024,BKN,UTAH,147,114,NBA_2024
25/01/2024,WSH,UTAH,108,123,NBA_2024
20/01/2024,HOU,UTAH,127,126,NBA_2024
13/01/2024,UTAH,LAL,132,125,NBA_2024
12/01/2024,UTAH,TOR,145,113,NBA_2024
08/01/2024,MIL,UTAH,116,132,NBA_2024
06/01/2024,PHI,UTAH,109,120,NBA_2024
05/01/2024,BOS,UTAH,126,97,NBA_2024
01/01/2024,UTAH,DAL,127,90,NBA_2024
30/12/2023,UTAH,MIA,117,109,NBA_2024
26/12/2023,SA,UTAH,118,130,NBA_2024
23/12/2023,TOR,UTAH,119,126,NBA_2024
20/12/2023,CLE,UTAH,124,116,NBA_2024
18/12/2023,UTAH,BKN,125,108,NBA_2024
14/12/2023,POR,UTAH,114,122,NBA_2024
13/12/2023,UTAH,NY,117,113,NBA_2024
06/12/2023,DAL,UTAH,147,97,NBA_2024
02/12/2023,UTAH,POR,118,113,NBA_2024
30/11/2023,MIN,UTAH,101,90,NBA_2024
29/11/2023,MEM,UTAH,105,91,NBA_2024
22/11/2023,POR,UTAH,121,105,NBA_2024
21/11/2023,LAL,UTAH,131,99,NBA_2024
19/11/2023,UTAH,PHX,137,140,NBA_2024
17/11/2023,UTAH,PHX,128,131,NBA_2024
14/11/2023,UTAH,POR,115,99,NBA_2024
10/11/2023,MEM,UTAH,121,127,NBA_2024
04/11/2023,MIN,UTAH,123,95,NBA_2024
02/11/2023,UTAH,ORL,113,115,NBA_2024
01/11/2023,UTAH,MEM,133,109,NBA_2024
28/10/2023,PHX,UTAH,126,104,NBA_2024
09/04/2023,LAL,UTAH,128,117,NBA_2023
04/04/2023,UTAH,LAL,133,135,NBA_2023
02/04/2023,BKN,UTAH,111,110,NBA_2023
31/03/2023,BOS,UTAH,122,114,NBA_2023
29/03/2023,SA,UTAH,117,128,NBA_2023
27/03/2023,UTAH,PHX,103,117,NBA_2023
24/03/2023,UTAH,MIL,116,144,NBA_2023
22/03/2023,UTAH,POR,115,127,NBA_2023
18/03/2023,UTAH,BOS,118,117,NBA_2023
13/03/2023,MIA,UTAH,119,115,NBA_2023
09/03/2023,ORL,UTAH,124,131,NBA_2023
07/03/2023,DAL,UTAH,120,116,NBA_2023
28/02/2023,UTAH,SA,94,102,NBA_2023
