Date,HomeTeam,AwayTeam,FTHG,FTAG
25/11/2016,DAL,VAN,2,1
15/11/2016,VAN,NYR,2,7
13/11/2016,VAN,DAL,5,4
08/11/2016,NYR,VAN,3,5
07/11/2016,NYI,VAN,4,2
05/11/2016,TOR,VAN,6,3
03/11/2016,OTT,VAN,1,0
02/11/2016,MTL,VAN,3,0
29/10/2016,VAN,WSH,2,5
28/10/2016,VAN,EDM,0,2
25/10/2016,VAN,OTT,0,3
20/10/2016,VAN,BUF,2,1
09/04/2016,VAN,EDM,4,3
06/04/2016,EDM,VAN,6,2
24/03/2016,NSH,VAN,3,2
22/03/2016,WPG,VAN,2,0
18/03/2016,EDM,VAN,2,0
