team,index,game_url
BOS,1668,usa/nhl-2005-2006/boston-bruins-carolina-hurricanes-j9gSJz9r/#home-away;1
BOS,1674,usa/nhl-2005-2006/buffalo-sabres-boston-bruins-zyjS01o6/#home-away;1
BOS,1676,usa/nhl-2005-2006/boston-bruins-winnipeg-jets-6NbDmiBk/#home-away;1
BOS,1678,usa/nhl-2005-2006/boston-bruins-tampa-bay-lightning-8SfesGlG/#home-away;1
BOS,1683,usa/nhl-2005-2006/boston-bruins-montreal-canadiens-MenHPjND/#home-away;1
BOS,1691,usa/nhl-2005-2006/boston-bruins-anaheim-ducks-lKozSKXi/#home-away;1
BOS,1693,usa/nhl-2005-2006/boston-bruins-los-angeles-kings-fN9inqKa/#home-away;1
BOS,1698,usa/nhl-2005-2006/tampa-bay-lightning-boston-bruins-04ExUjd9/#home-away;1
BOS,1701,usa/nhl-2005-2006/toronto-maple-leafs-boston-bruins-n3u13QWN/#home-away;1
BOS,1705,usa/nhl-2005-2006/boston-bruins-arizona-coyotes-4b8oAUko/#home-away;1
BOS,1708,usa/nhl-2005-2006/edmonton-oilers-boston-bruins-KhRrwQOe/#home-away;1
BOS,1710,usa/nhl-2005-2006/new-jersey-devils-boston-bruins-WYP4wwD1/#home-away;1
BOS,1712,usa/nhl-2005-2006/boston-bruins-philadelphia-flyers-zPPRyQyc/#home-away;1
BOS,1721,usa/nhl-2005-2006/boston-bruins-toronto-maple-leafs-r1yvSZkr/#home-away;1
BOS,1727,usa/nhl-2005-2006/tampa-bay-lightning-boston-bruins-UXug1XoP/#home-away;1
BOS,1729,usa/nhl-2005-2006/buffalo-sabres-boston-bruins-vVXRtrqD/#home-away;1
BOS,1730,usa/nhl-2005-2006/boston-bruins-montreal-canadiens-YBgqWQUf/#home-away;1
BOS,1732,usa/nhl-2003-2004/montreal-canadiens-boston-bruins-SrtF82dj/#home-away;1
BOS,1734,usa/nhl-2003-2004/montreal-canadiens-boston-bruins-pzXn69zh/#home-away;1
BOS,1754,usa/nhl-2003-2004/boston-bruins-montreal-canadiens-rVIQoJ71/#home-away;1
BOS,1756,usa/nhl-2003-2004/boston-bruins-florida-panthers-vgE9Vs6q/#home-away;1
BOS,1757,usa/nhl-2003-2004/carolina-hurricanes-boston-bruins-4WqQw6b3/#home-away;1
BOS,1758,usa/nhl-2003-2004/philadelphia-flyers-boston-bruins-0OreQnU3/#home-away;1
BUF,917,usa/nhl-2013-2014/montreal-canadiens-buffalo-sabres-jXwD4Kna/#home-away;1
BUF,1048,usa/nhl-2011-2012/columbus-blue-jackets-buffalo-sabres-nBdRm1tH/#home-away;1
BUF,1144,usa/nhl-2010-2011/ottawa-senators-buffalo-sabres-Orv2XDOJ/#home-away;1
BUF,1145,usa/nhl-2010-2011/toronto-maple-leafs-buffalo-sabres-xbIwEYHs/#home-away;1
BUF,1146,usa/nhl-2010-2011/buffalo-sabres-toronto-maple-leafs-EykH6HAE/#home-away;1
BUF,1234,usa/nhl-2009-2010/toronto-maple-leafs-buffalo-sabres-raFNuNTi/#home-away;1
BUF,1237,usa/nhl-2009-2010/washington-capitals-buffalo-sabres-zFeqlb5H/#home-away;1
BUF,1309,usa/nhl-2008-2009/new-jersey-devils-buffalo-sabres-h2adpgqR/#home-away;1
BUF,1310,usa/nhl-2008-2009/buffalo-sabres-washington-capitals-KY6AekVl/#home-away;1
BUF,1316,usa/nhl-2008-2009/winnipeg-jets-buffalo-sabres-QuZG8Jul/#home-away;1
BUF,1327,usa/nhl-2007-2008/buffalo-sabres-toronto-maple-leafs-GEBvlmAg/#home-away;1
BUF,1335,usa/nhl-2007-2008/buffalo-sabres-detroit-red-wings-xbNH6FSP/#home-away;1
BUF,1342,usa/nhl-2007-2008/buffalo-sabres-pittsburgh-penguins-beAwDyX8/#home-away;1
BUF,1343,usa/nhl-2007-2008/new-york-rangers-buffalo-sabres-2Tv9cdXL/#home-away;1
BUF,1344,usa/nhl-2007-2008/buffalo-sabres-toronto-maple-leafs-nLrgxjBs/#home-away;1
BUF,1347,usa/nhl-2007-2008/buffalo-sabres-boston-bruins-lp3IrhYD/#home-away;1
BUF,1353,usa/nhl-2007-2008/dallas-stars-buffalo-sabres-r3nSgs8t/#home-away;1
BUF,1363,usa/nhl-2007-2008/buffalo-sabres-pittsburgh-penguins-vqTDCw1g/#home-away;1
BUF,1364,usa/nhl-2007-2008/pittsburgh-penguins-buffalo-sabres-Ofe8eoQ1/#home-away;1
BUF,1365,usa/nhl-2007-2008/new-jersey-devils-buffalo-sabres-M5XZbaFd/#home-away;1
BUF,1380,usa/nhl-2007-2008/buffalo-sabres-montreal-canadiens-SjSbWNri/#home-away;1
BUF,1383,usa/nhl-2007-2008/ottawa-senators-buffalo-sabres-6ToUGrq4/#home-away;1
BUF,1388,usa/nhl-2007-2008/buffalo-sabres-florida-panthers-xSOUOIEq/#home-away;1
BUF,1389,usa/nhl-2007-2008/boston-bruins-buffalo-sabres-27mxNblt/#home-away;1
BUF,1391,usa/nhl-2007-2008/florida-panthers-buffalo-sabres-Mki9zy2K/#home-away;1
BUF,1393,usa/nhl-2007-2008/montreal-canadiens-buffalo-sabres-EB8S2e3O/#home-away;1
BUF,1396,usa/nhl-2007-2008/buffalo-sabres-washington-capitals-YgGVSkaI/#home-away;1
BUF,1403,usa/nhl-2006-2007/buffalo-sabres-ottawa-senators-UqCDcnnJ/#home-away;1
BUF,1405,usa/nhl-2006-2007/new-york-rangers-buffalo-sabres-QiFd1Unf/#home-away;1
BUF,1407,usa/nhl-2006-2007/new-york-rangers-buffalo-sabres-n1fNnVX0/#home-away;1
BUF,1408,usa/nhl-2006-2007/new-york-rangers-buffalo-sabres-dGmjfDuR/#home-away;1
BUF,1410,usa/nhl-2006-2007/buffalo-sabres-new-york-rangers-vFFvxEJr/#home-away;1
BUF,1411,usa/nhl-2006-2007/buffalo-sabres-new-york-islanders-MPPAMYJe/#home-away;1
BUF,1421,usa/nhl-2006-2007/buffalo-sabres-new-york-islanders-pW4A0eOQ/#home-away;1
BUF,1422,usa/nhl-2006-2007/buffalo-sabres-new-jersey-devils-t2UAufn1/#home-away;1
BUF,1424,usa/nhl-2006-2007/buffalo-sabres-toronto-maple-leafs-ENUrNINC/#home-away;1
BUF,1425,usa/nhl-2006-2007/buffalo-sabres-washington-capitals-2XbdzaAL/#home-away;1
BUF,1441,usa/nhl-2006-2007/buffalo-sabres-calgary-flames-8foPUNFh/#home-away;1
BUF,1444,usa/nhl-2006-2007/new-jersey-devils-buffalo-sabres-Sr2Angt2/#home-away;1
BUF,1451,usa/nhl-2006-2007/buffalo-sabres-boston-bruins-WresJCQ9/#home-away;1
BUF,1454,usa/nhl-2006-2007/buffalo-sabres-toronto-maple-leafs-rNEncV3j/#home-away;1
BUF,1455,usa/nhl-2006-2007/chicago-blackhawks-buffalo-sabres-ARouKC0s/#home-away;1
BUF,1456,usa/nhl-2006-2007/toronto-maple-leafs-buffalo-sabres-OxYF2itT/#home-away;1
BUF,1467,usa/nhl-2006-2007/montreal-canadiens-buffalo-sabres-zgNz65VN/#home-away;1
BUF,1469,usa/nhl-2006-2007/tampa-bay-lightning-buffalo-sabres-ELRGGOya/#home-away;1
BUF,1472,usa/nhl-2006-2007/new-york-rangers-buffalo-sabres-4hL17asl/#home-away;1
BUF,1475,usa/nhl-2006-2007/buffalo-sabres-tampa-bay-lightning-ShVlusbe/#home-away;1
BUF,1478,usa/nhl-2006-2007/buffalo-sabres-ottawa-senators-zXo0gSoI/#home-away;1
BUF,1480,usa/nhl-2006-2007/philadelphia-flyers-buffalo-sabres-dCTQJZVH/#home-away;1
BUF,1486,usa/nhl-2006-2007/new-york-islanders-buffalo-sabres-8QRI2MwT/#home-away;1
BUF,1487,usa/nhl-2006-2007/montreal-canadiens-buffalo-sabres-vTv5dwdr/#home-away;1
BUF,1489,usa/nhl-2006-2007/buffalo-sabres-carolina-hurricanes-Qmcuk39T/#home-away;1
BUF,1494,usa/nhl-2006-2007/buffalo-sabres-montreal-canadiens-YRBruxR7/#home-away;1
BUF,1501,usa/nhl-2005-2006/carolina-hurricanes-buffalo-sabres-rB8sL9h4/#home-away;1
BUF,1502,usa/nhl-2005-2006/carolina-hurricanes-buffalo-sabres-nqFYMVNi/#home-away;1
BUF,1506,usa/nhl-2005-2006/philadelphia-flyers-buffalo-sabres-WxM3vhfI/#home-away;1
BUF,1510,usa/nhl-2005-2006/buffalo-sabres-philadelphia-flyers-CSZqgunc/#home-away;1
BUF,1512,usa/nhl-2005-2006/carolina-hurricanes-buffalo-sabres-Cjfw6T1c/#home-away;1
BUF,1516,usa/nhl-2005-2006/buffalo-sabres-philadelphia-flyers-A7yvmfvL/#home-away;1
BUF,1517,usa/nhl-2005-2006/toronto-maple-leafs-buffalo-sabres-QawgGe3q/#home-away;1
BUF,1518,usa/nhl-2005-2006/toronto-maple-leafs-buffalo-sabres-zetS1dlj/#home-away;1
BUF,1519,usa/nhl-2005-2006/new-york-rangers-buffalo-sabres-Cf8eB9Ln/#home-away;1
BUF,1527,usa/nhl-2005-2006/buffalo-sabres-boston-bruins-xrsePyUN/#home-away;1
BUF,1528,usa/nhl-2005-2006/philadelphia-flyers-buffalo-sabres-x4YSVLpt/#home-away;1
BUF,1530,usa/nhl-2005-2006/buffalo-sabres-boston-bruins-zyjS01o6/#home-away;1
BUF,1540,usa/nhl-2005-2006/winnipeg-jets-buffalo-sabres-EVOJKtKl/#home-away;1
BUF,1547,usa/nhl-2005-2006/buffalo-sabres-arizona-coyotes-Cb4do3Z5/#home-away;1
BUF,1556,usa/nhl-2005-2006/philadelphia-flyers-buffalo-sabres-ddyE4FB0/#home-away;1
BUF,1560,usa/nhl-2005-2006/minnesota-wild-buffalo-sabres-W40XXXsh/#home-away;1
BUF,1574,usa/nhl-2005-2006/buffalo-sabres-montreal-canadiens-IBezhN94/#home-away;1
BUF,1576,usa/nhl-2005-2006/new-york-islanders-buffalo-sabres-hlpRQpB5/#home-away;1
BUF,1579,usa/nhl-2005-2006/florida-panthers-buffalo-sabres-fs0imvNq/#home-away;1
BUF,1585,usa/nhl-2003-2004/buffalo-sabres-toronto-maple-leafs-zuWREHyl/#home-away;1
BUF,1587,usa/nhl-2003-2004/buffalo-sabres-columbus-blue-jackets-radnoItA/#home-away;1
BUF,1591,usa/nhl-2003-2004/florida-panthers-buffalo-sabres-hCS78iwr/#home-away;1
BUF,1594,usa/nhl-2003-2004/buffalo-sabres-toronto-maple-leafs-dYr00IMf/#home-away;1
