Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
27/05/2021,PIT,CHC,3,5,MLB_2021
26/05/2021,PIT,CHC,1,4,MLB_2021
25/05/2021,PIT,CHC,3,4,MLB_2021
23/05/2021,ATL,PIT,7,1,MLB_2021
22/05/2021,ATL,PIT,6,1,MLB_2021
21/05/2021,ATL,PIT,20,1,MLB_2021
20/05/2021,ATL,PIT,4,6,MLB_2021
19/05/2021,STL,PIT,8,5,MLB_2021
18/05/2021,STL,PIT,5,2,MLB_2021
16/05/2021,PIT,SF,1,4,MLB_2021
15/05/2021,PIT,SF,8,6,MLB_2021
14/05/2021,PIT,SF,3,2,MLB_2021
13/05/2021,PIT,SF,1,3,MLB_2021
12/05/2021,PIT,CIN,1,5,MLB_2021
11/05/2021,PIT,CIN,7,2,MLB_2021
10/05/2021,PIT,CIN,1,14,MLB_2021
09/05/2021,CHC,PIT,5,6,MLB_2021
08/05/2021,CHC,PIT,3,2,MLB_2021
07/05/2021,CHC,PIT,3,2,MLB_2021
05/05/2021,SD,PIT,4,2,MLB_2021
04/05/2021,SD,PIT,1,2,MLB_2021
03/05/2021,SD,PIT,2,0,MLB_2021
02/05/2021,PIT,STL,0,3,MLB_2021
01/05/2021,PIT,STL,5,12,MLB_2021
30/04/2021,PIT,STL,3,7,MLB_2021
28/04/2021,PIT,KC,6,9,MLB_2021
27/04/2021,PIT,KC,2,1,MLB_2021
25/04/2021,MIN,PIT,2,6,MLB_2021
24/04/2021,MIN,PIT,2,6,MLB_2021
23/04/2021,MIN,PIT,2,0,MLB_2021
22/04/2021,DET,PIT,2,4,MLB_2021
21/04/2021,DET,PIT,5,2,MLB_2021
21/04/2021,DET,PIT,2,3,MLB_2021
18/04/2021,MIL,PIT,5,6,MLB_2021
17/04/2021,MIL,PIT,7,1,MLB_2021
16/04/2021,MIL,PIT,1,6,MLB_2021
15/04/2021,PIT,SD,3,8,MLB_2021
14/04/2021,PIT,SD,5,1,MLB_2021
13/04/2021,PIT,SD,8,4,MLB_2021
12/04/2021,PIT,SD,2,6,MLB_2021
11/04/2021,PIT,CHC,7,1,MLB_2021
10/04/2021,PIT,CHC,8,2,MLB_2021
08/04/2021,PIT,CHC,2,4,MLB_2021
07/04/2021,CIN,PIT,11,4,MLB_2021
06/04/2021,CIN,PIT,14,1,MLB_2021
05/04/2021,CIN,PIT,5,3,MLB_2021
04/04/2021,CHC,PIT,4,3,MLB_2021
03/04/2021,CHC,PIT,5,1,MLB_2021
01/04/2021,CHC,PIT,3,5,MLB_2021
27/09/2020,CLE,PIT,8,6,MLB_2020
26/09/2020,CLE,PIT,0,8,MLB_2020
25/09/2020,CLE,PIT,4,3,MLB_2020
24/09/2020,PIT,CHC,7,0,MLB_2020
23/09/2020,PIT,CHC,2,1,MLB_2020
22/09/2020,PIT,CHC,3,2,MLB_2020
21/09/2020,PIT,CHC,0,5,MLB_2020
20/09/2020,PIT,STL,1,2,MLB_2020
19/09/2020,PIT,STL,4,5,MLB_2020
18/09/2020,PIT,STL,5,6,MLB_2020
17/09/2020,PIT,STL,5,1,MLB_2020
16/09/2020,CIN,PIT,1,0,MLB_2020
15/09/2020,CIN,PIT,4,1,MLB_2020
14/09/2020,CIN,PIT,9,4,MLB_2020
14/09/2020,CIN,PIT,3,1,MLB_2020
13/09/2020,KC,PIT,11,0,MLB_2020
12/09/2020,KC,PIT,7,4,MLB_2020
11/09/2020,KC,PIT,4,3,MLB_2020
09/09/2020,PIT,CHW,1,8,MLB_2020
08/09/2020,PIT,CHW,5,4,MLB_2020
06/09/2020,PIT,CIN,3,2,MLB_2020
05/09/2020,PIT,CIN,2,6,MLB_2020
04/09/2020,CIN,PIT,3,4,MLB_2020
04/09/2020,PIT,CIN,2,4,MLB_2020
03/09/2020,PIT,CHC,6,2,MLB_2020
02/09/2020,PIT,CHC,2,8,MLB_2020
01/09/2020,PIT,CHC,7,8,MLB_2020
31/08/2020,MIL,PIT,6,5,MLB_2020
30/08/2020,MIL,PIT,1,5,MLB_2020
29/08/2020,MIL,PIT,7,6,MLB_2020
28/08/2020,MIL,PIT,9,1,MLB_2020
27/08/2020,STL,PIT,0,2,MLB_2020
27/08/2020,STL,PIT,3,4,MLB_2020
26/08/2020,CHW,PIT,10,3,MLB_2020
25/08/2020,CHW,PIT,4,0,MLB_2020
23/08/2020,PIT,MIL,5,4,MLB_2020
22/08/2020,PIT,MIL,12,5,MLB_2020
21/08/2020,PIT,MIL,7,2,MLB_2020
20/08/2020,PIT,CLE,0,2,MLB_2020
19/08/2020,PIT,CLE,1,6,MLB_2020
18/08/2020,PIT,CLE,3,6,MLB_2020
14/08/2020,CIN,PIT,8,1,MLB_2020
13/08/2020,CIN,PIT,6,9,MLB_2020
09/08/2020,PIT,DET,1,2,MLB_2020
08/08/2020,PIT,DET,5,11,MLB_2020
07/08/2020,PIT,DET,13,17,MLB_2020
06/08/2020,PIT,MIN,6,5,MLB_2020
05/08/2020,PIT,MIN,2,5,MLB_2020
04/08/2020,MIN,PIT,7,3,MLB_2020
03/08/2020,MIN,PIT,5,4,MLB_2020
02/08/2020,CHC,PIT,2,1,MLB_2020
01/08/2020,CHC,PIT,4,3,MLB_2020
31/07/2020,CHC,PIT,6,3,MLB_2020
