Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,home_rating,away_rating
01/05/2023,NJ,NYR,4,0,NHL_2023,0.04829741973496319,0.038572473752270936
29/04/2023,NYR,NJ,5,2,NHL_2023,0.037509838972081065,0.04941953437834696
27/04/2023,NJ,NYR,4,0,NHL_2023,0.048284300135739554,0.03815125244703532
24/04/2023,NYR,NJ,1,3,NHL_2023,0.03880025824761058,0.04708968561445496
22/04/2023,NYR,NJ,1,2,NHL_2023,0.03974804666826787,0.046149247102291055
20/04/2023,NJ,NYR,1,5,NHL_2023,0.04747915261409215,0.03875100440091869
18/04/2023,NJ,NYR,1,5,NHL_2023,0.04863034104921085,0.03749447802736504
13/04/2023,NYR,TOR,2,3,NHL_2023,0.03858582082078258,0.043192125701332455
08/04/2023,CBJ,NYR,0,4,NHL_2023,0.012336967499411575,0.03966030952713324
02/04/2023,WSH,NYR,2,5,NHL_2023,0.02158370516500145,0.039396450674347626
30/03/2023,NJ,NYR,2,1,NHL_2023,0.04712216834387564,0.04199575963216211
28/03/2023,NYR,CBJ,6,2,NHL_2023,0.04123539810412222,0.012729845318751
25/03/2023,FLA,NYR,3,4,NHL_2023,0.02879201360497052,0.04044436874943336
14/03/2023,NYR,WSH,5,3,NHL_2023,0.03629268537684847,0.024811063866440254
09/03/2023,MTL,NYR,3,4,NHL_2023,0.018442095954001262,0.03547967792048107
04/03/2023,BOS,NYR,4,2,NHL_2023,0.1052770861534589,0.03608148511212636
02/03/2023,NYR,OTT,3,5,NHL_2023,0.03766528856608156,0.02797131940168448
01/03/2023,PHI,NYR,2,3,NHL_2023,0.016952387421902044,0.036841180438256835
26/02/2023,NYR,LA,5,2,NHL_2023,0.03573563157453046,0.0339919816969526
25/02/2023,WSH,NYR,6,3,NHL_2023,0.023813966583210174,0.0372808566204285
20/02/2023,NYR,WPG,1,4,NHL_2023,0.04032243990505368,0.04112752049594079
17/02/2023,EDM,NYR,4,5,NHL_2023,0.03187533849993674,0.04088171012771916
10/02/2023,NYR,SEA,6,3,NHL_2023,0.03633932821258265,0.03794141815367787
25/01/2023,TOR,NYR,3,2,NHL_2023,0.042901307888659465,0.03267046272956804
23/01/2023,NYR,FLA,6,2,NHL_2023,0.03171920328579787,0.02609318165871328
19/01/2023,NYR,BOS,1,3,NHL_2023,0.03260727248613077,0.10783871016191085
16/01/2023,CBJ,NYR,1,3,NHL_2023,0.012385850605482836,0.03147919197000332
15/01/2023,NYR,MTL,1,2,NHL_2023,0.0335556707822957,0.016672473065166706
12/01/2023,NYR,DAL,2,1,NHL_2023,0.031680991575834386,0.039494365367916846
10/01/2023,NYR,MIN,4,3,NHL_2023,0.02992169604276852,0.03288638059631258
07/01/2023,NJ,NYR,4,3,NHL_2023,0.042260011472533776,0.031157688203547945
05/01/2023,MTL,NYR,1,4,NHL_2023,0.01645221475260125,0.030443437843520733
01/01/2023,FLA,NYR,3,5,NHL_2023,0.021634169905083357,0.02684837408366521
27/12/2022,NYR,WSH,0,4,NHL_2023,0.028563509611436323,0.03117540776824628
22/12/2022,NYR,NYI,5,3,NHL_2023,0.027212477625195082,0.029294938387213743
17/12/2022,PHI,NYR,3,6,NHL_2023,0.013577899442990206,0.027327724323336737
15/12/2022,NYR,TOR,3,1,NHL_2023,0.024244172339680445,0.050095903115429316
12/12/2022,NYR,NJ,4,3,NHL_2023,0.02209076666665937,0.08059567557753207
09/12/2022,COL,NYR,1,2,NHL_2023,0.0360389601728904,0.019249068409070712
02/12/2022,NYR,OTT,2,3,NHL_2023,0.020128754627720995,0.013981921880213598
30/11/2022,OTT,NYR,1,3,NHL_2023,0.015499598635550399,0.018442751767190884
28/11/2022,NYR,NJ,3,5,NHL_2023,0.0193616524283984,0.10228255298154833
26/11/2022,NYR,EDM,3,4,NHL_2023,0.021605901341748848,0.028471103619273064
22/11/2022,LA,NYR,3,5,NHL_2023,0.026057813937964622,0.020708779249020648
17/11/2022,SEA,NYR,3,2,NHL_2023,0.022420532735825952,0.02178043584771945
08/11/2022,NYR,NYI,3,4,NHL_2023,0.02073308106641904,0.03880871218715348
03/11/2022,NYR,BOS,2,5,NHL_2023,0.0220360121659239,0.15428988260773213
01/11/2022,NYR,PHI,1,0,NHL_2023,0.014080782205308296,0.0365372248040265
29/10/2022,DAL,NYR,3,6,NHL_2023,0.047909402266054016,0.0061854248471075336
26/10/2022,NYI,NYR,3,0,NHL_2023,0.0026962445720855365,0.003717022863782338
25/10/2022,NYR,COL,2,3,NHL_2023,0.002725132506628468,0.01633189266678451
