date,team_1,score_1,score_2,team_2,game_url
18/Dec,Los Angeles Lakers,109,114,New York Knicks,usa/nba-2023-2024/los-angeles-lakers-new-york-knicks-d66f41HF/
15/Dec,Phoenix Suns,122,139,New York Knicks,usa/nba-2023-2024/phoenix-suns-new-york-knicks-hvH8P5lH/
11/Dec,New York Knicks,136,130,Toronto Raptors,usa/nba-2023-2024/new-york-knicks-toronto-raptors-rgTwiLHu/
01/Dec,Toronto Raptors,106,119,New York Knicks,usa/nba-2023-2024/toronto-raptors-new-york-knicks-jLiEUWxk/
30/Nov,New York Knicks,118,112,Detroit Pistons,usa/nba-2023-2024/new-york-knicks-detroit-pistons-6oZUT5NC/
26/Nov,New York Knicks,113,116,Phoenix Suns,usa/nba-2023-2024/new-york-knicks-phoenix-suns-OrcFGemd/
20/Nov,Minnesota Timberwolves,117,100,New York Knicks,usa/nba-2023-2024/minnesota-timberwolves-new-york-knicks-UwuAFfo5/
17/Nov,Washington Wizards,99,120,New York Knicks,usa/nba-2023-2024/washington-wizards-new-york-knicks-6kHqofks/
08/Nov,New York Knicks,126,105,San Antonio Spurs,usa/nba-2023-2024/new-york-knicks-san-antonio-spurs-MHRDYEji/
28/Oct,New Orleans Pelicans,96,87,New York Knicks,usa/nba-2023-2024/new-orleans-pelicans-new-york-knicks-2eoEe0s5/
18/Oct,New York Knicks,106,131,Washington Wizards,usa/nba-2023-2024/new-york-knicks-washington-wizards-xtvtYFKC/
14/Oct,New York Knicks,112,121,Minnesota Timberwolves,usa/nba-2023-2024/new-york-knicks-minnesota-timberwolves-ALE84mei/
15/Jul,New York Knicks,86,89,Denver Nuggets,usa/nba-las-vegas-summer-league-2023/new-york-knicks-denver-nuggets-KQ8uiyfF/
12/Jul,Orlando Magic,80,82,New York Knicks,usa/nba-las-vegas-summer-league-2023/orlando-magic-new-york-knicks-MXqJrSsb/
09/Jul,Brooklyn Nets,98,80,New York Knicks,usa/nba-las-vegas-summer-league-2023/brooklyn-nets-new-york-knicks-2kUoDzhD/
08/Jul,Philadelphia 76ers,110,101,New York Knicks,usa/nba-las-vegas-summer-league-2023/philadelphia-76ers-new-york-knicks-8ShjO00E/
09/Apr,New York Knicks,136,141,Indiana Pacers,usa/nba-2022-2023/new-york-knicks-indiana-pacers-rm8Yh54P/
